compoundId,id,name,icon,grade,language,dbType,mainCategory,createdAt,isDisabled
collectable-20000002,20000002,Pink Musk,/assets/item_icons_pinkflower,1,en,collectable,botany,2025-10-16,False
collectable-20000003,20000003,Scallop,/assets/item_icons_scallop,0,en,collectable,botany,2025-10-16,False
collectable-20000004,20000004,Snowflake Parsley,/assets/item_icons_snowflower,0,en,collectable,botany,2025-10-16,False
collectable-20000005,20000005,Whispering Orchid,/assets/item_icons_purpleflower_02,2,en,collectable,botany,2025-10-16,False
collectable-20000006,20000006,Meadow Mushroom,/assets/item_icons_mushroom,0,en,collectable,botany,2025-10-16,False
collectable-20000007,20000007,Grey-top Flax,/assets/item_icons_flax_02,0,en,collectable,botany,2025-10-16,False
collectable-20000008,20000008,Granny Pine,/assets/item_icons_matsutake,2,en,collectable,botany,2025-10-16,False
collectable-20000009,20000009,Helmflower,/assets/item_icons_sunflower,0,en,collectable,botany,2025-10-16,False
collectable-20000010,20000010,Sweet Berry,/assets/item_icons_berry,0,en,collectable,botany,2025-10-16,False
collectable-20000012,20000012,Firefly,/assets/item_icons_yingguangchi,0,en,collectable,botany,2025-10-16,False
collectable-20000013,20000013,Tris Sea Fish,/assets/item_icons_fish01,0,en,collectable,botany,2025-10-16,False
collectable-20000014,20000014,Pale Blue Fish,/assets/item_icons_fish03,0,en,collectable,botany,2025-10-16,False
collectable-20000015,20000015,Glowshroom,/assets/item_icons_fluorescent_mushroom_01,1,en,collectable,botany,2025-10-16,False
collectable-20000016,20000016,Umu Fruit,/assets/item_icons_um_fruit_01,1,en,collectable,botany,2025-10-16,False
collectable-20000017,20000017,Azure Fruit,/assets/item_icons_deepblue_fruit_01,2,en,collectable,botany,2025-10-16,False
collectable-20000018,20000018,Wheat Field,/assets/item_icons_lifematerial_wheat01,0,en,collectable,botany,2025-10-16,False
collectable-20000019,20000019,Asteria Cotton,/assets/item_icons_cottongrass_01,1,en,collectable,botany,2025-10-16,False
collectable-20000020,20000020,Rainbow Herb,/assets/item_icons_lifematerial_evergreengrass01,1,en,collectable,botany,2025-10-16,False
